0;0;0
2;1000;000
4;270;270
6;285;285
8;300;300
10;330;330
12;360;360
14;375;375
16;390;390
18;375;375
20;405;405
23;420;420
24;450;450
26;465;465
28;465;465
30;480;480
32;465;465
34;510;510
36;495;495
38;525;525
40;555;555
42;540;540
44;615;615
46;555;555
48;615;615
50;570;570
52;630;630
54;600;600
56;615;615
58;600;600
60;630;630
62;735;735
64;735;735
66;720;720
68;735;735
70;810;810
72;810;810
74;810;810
76;840;840
78;855;855
80;870;870
82;870;870
84;855;855
86;870;870
88;870;870
90;855;855
92;765;765
94;840;840
96;870;870
98;825;825
